0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Martini,Add all the ingredients to a mixing glass and fill with ice. Stir until very cold and strain into a chilled cocktail glass. Garnish with a lemon twist.,3.5,oz,Gin,0.5,oz,Dry Vermouth,1,Dash,Orange Bitters,,,
2,French75,Combine gin + syrup + and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into an iced champagne glass. Top up with Champagne. Stir gently.,1,oz,Gin,2,oz,Champagne,2,Dashes,Simple Syrup,0.5,oz,Lemon Juice
3,Negroni,Stir into glass over ice + garnish and serve on the rocks. Garnish with an orange peel. ,1,oz,Gin,1,oz,Campari,1,oz,Sweet Red Vermouth,,,
4,Last Word,Shake with ice and strain into a cocktail glass.,1,oz,Gin,1,oz,Green Chartruese,1,oz,Maraschino Cherry Liqueur,1,oz,Lime Juice
5,Gimlet,Mix and serve on the rocks. Garnish with a slice of lime.,4,oz,Gin,1,oz,Lime Juice,,,,,,
6,Paloma,Stir together and serve over ice. Garnish with a lime wedge.,1,Part,Tequila,3,Parts,Grapefruit Soda ,,,,,,
7,Margarita,Rub the rim of the glass with the lime slice to make the salt stick to it. Shake the other ingredients with ice+ then carefully pour into the glass (taking care not to dislodge any salt). Garnish and serve over ice.,2,oz,Tequila,1,oz,Triple Sec,1,oz,Lime Juice,,,
8,Tequila Sunrise,Pour the tequila and orange juice into glass over ice. Add the grenadine+ which will sink to the bottom. Do not stir. Garnish with a cherry and orange slice and serve.,1.5,oz,Tequila,3,oz,Orange Juice,0.5,oz,Grenadine,,,
9,Matador,Mix the ingredients in a shaker half full of ice. Strain and serve in a chilled cocktail glass or champagne flute. Garnish with Lime slice.,1.5,oz,Tequila,3,oz,Pineapple Juice,0.5,oz,Lime Juice,,,
10,Tequila,"This is not college. Drink ""good"" tequila neat and relish in your elevated stature amongst mere mortals.",3,oz,Tequila,,,,,,,,,
11,Old Fashioned,Place sugar cube in old fashioned glass and saturate with bitters+ add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange slice.,1.5,oz,Whiskey,2,Dashes,Angosturo Bitters,1,whole,Sugar Cube,2,Dashes,Water
12,Manhattan,Stirred over ice.  Strain into a chilled glass. Garnish with a brandied cherry. Serve straight up.,2,oz,Whiskey,2,Dashes,Angosturo Bitters,0.75,oz,Sweet Red Vermouth,,,
13,Sazerac,Rinse a chilled old-fashioned glass with the absinthe. Add crushed ice and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass. Strain the drink into the glass. Add the Lemon peel for garnish.,1.5,oz,Whiskey,0.25,oz,Absinthe,3,Dashes,Bitters,1,whole,Sugar Cube
